"","x"
"1","224588_at"
"2","227671_at"
"3","221728_x_at"
"4","213831_at"
"5","214218_s_at"
"6","201909_at"
"7","204409_s_at"
"8","205000_at"
"9","203290_at"
"10","224589_at"
"11","209480_at"
"12","224590_at"
"13","AFFX-HUMRGE/M10098_5_at"
"14","209728_at"
"15","217022_s_at"
"16","206700_s_at"
"17","204410_at"
"18","236694_at"
"19","236203_at"
"20","AFFX-HUMRGE/M10098_M_at"
"21","234764_x_at"
"22","207076_s_at"
"23","AFFX-HUMRGE/M10098_3_at"
"24","215214_at"
"25","211430_s_at"
"26","242714_at"
"27","205001_s_at"
"28","217179_x_at"
"29","215118_s_at"
"30","232618_at"
"31","213350_at"
"32","1555989_at"
"33","207245_at"
"34","216560_x_at"
"35","223645_s_at"
"36","213060_s_at"
"37","226811_at"
"38","223646_s_at"
"39","228492_at"
"40","217148_x_at"
"41","1553055_a_at"
"42","1557078_at"
"43","200799_at"
"44","204271_s_at"
"45","202581_at"
"46","224342_x_at"
"47","216491_x_at"
"48","214777_at"
"49","217258_x_at"
"50","216853_x_at"
"51","221491_x_at"
"52","214768_x_at"
"53","219759_at"
"54","217320_at"
"55","206701_x_at"
"56","217227_x_at"
"57","243999_at"
"58","234366_x_at"
"59","234884_x_at"
"60","214131_at"
"61","1567912_s_at"
"62","235700_at"
"63","206624_at"
"64","234792_x_at"
"65","235278_at"
"66","211637_x_at"
"67","222281_s_at"
"68","238430_x_at"
"69","239287_at"
"70","211634_x_at"
"71","211645_x_at"
"72","204533_at"
"73","201215_at"
"74","212698_s_at"
"75","229026_at"
"76","214973_x_at"
"77","AFFX-M27830_5_at"
"78","239412_at"
"79","228697_at"
"80","206834_at"
"81","1559280_a_at"
"82","206108_s_at"
"83","1563209_a_at"
"84","1564150_a_at"
"85","200800_s_at"
"86","233969_at"
"87","217235_x_at"
"88","215176_x_at"
"89","216576_x_at"
"90","202437_s_at"
"91","201123_s_at"
"92","211644_x_at"
"93","230383_x_at"
"94","208319_s_at"
"95","216984_x_at"
"96","212977_at"
"97","227462_at"
"98","211643_x_at"
"99","216401_x_at"
"100","213566_at"
"101","1570360_s_at"
"102","214039_s_at"
"103","216517_at"
"104","211635_x_at"
"105","227556_at"
"106","227404_s_at"
"107","228518_at"
"108","216510_x_at"
"109","202609_at"
"110","220177_s_at"
"111","36711_at"
"112","219892_at"
"113","229704_at"
"114","214539_at"
"115","209392_at"
"116","211655_at"
"117","1554273_a_at"
"118","204591_at"
"119","204141_at"
"120","227510_x_at"
"121","201242_s_at"
"122","206478_at"
"123","226558_at"
"124","228297_at"
"125","204273_at"
"126","1562880_at"
"127","228776_at"
"128","201890_at"
"129","227952_at"
"130","231647_s_at"
"131","226725_at"
"132","240915_at"
"133","203817_at"
"134","202411_at"
"135","212999_x_at"
"136","208650_s_at"
"137","209138_x_at"
"138","224568_x_at"
"139","213642_at"
"140","209988_s_at"
"141","211633_x_at"
"142","214677_x_at"
"143","205932_s_at"
"144","209210_s_at"
"145","243495_s_at"
"146","202935_s_at"
"147","217281_x_at"
"148","211639_x_at"
"149","1553972_a_at"
"150","219841_at"
"151","238021_s_at"
"152","217127_at"
"153","202203_s_at"
"154","214012_at"
"155","244565_at"
"156","224499_s_at"
"157","216541_x_at"
"158","211555_s_at"
"159","223434_at"
"160","213194_at"
"161","206632_s_at"
"162","204393_s_at"
"163","211074_at"
"164","201387_s_at"
"165","1562836_at"
"166","204999_s_at"
"167","1558176_at"
"168","215777_at"
"169","226736_at"
"170","1563357_at"
"171","223578_x_at"
"172","220306_at"
"173","210279_at"
"174","228582_x_at"
"175","213572_s_at"
"176","211881_x_at"
"177","229147_at"
"178","228964_at"
"179","214041_x_at"
"180","206641_at"
"181","213979_s_at"
"182","219274_at"
"183","213472_at"
"184","237009_at"
"185","200908_s_at"
"186","234477_at"
"187","221690_s_at"
"188","228092_at"
"189","215379_x_at"
"190","1554679_a_at"
"191","204446_s_at"
"192","226084_at"
"193","1563445_x_at"
"194","223949_at"
"195","202436_s_at"
"196","204897_at"
"197","204959_at"
"198","216207_x_at"
"199","205048_s_at"
"200","212956_at"
"201","215121_x_at"
"202","219463_at"
"203","210512_s_at"
"204","211338_at"
"205","219602_s_at"
"206","1561937_x_at"
"207","204529_s_at"
"208","231154_x_at"
"209","226702_at"
"210","215666_at"
"211","211798_x_at"
"212","237328_at"
"213","217378_x_at"
"214","211368_s_at"
"215","212592_at"
"216","212044_s_at"
"217","214315_x_at"
"218","202207_at"
"219","204998_s_at"
"220","208719_s_at"
"221","230793_at"
"222","1558080_s_at"
"223","227099_s_at"
"224","235412_at"
"225","231303_at"
"226","223940_x_at"
"227","1556499_s_at"
"228","1565162_s_at"
"229","228204_at"
"230","220567_at"
"231","211650_x_at"
